id,items_,filename,from_,to_
211,o0,cta0004.seg_B1,317248.0,321562.0
212,j,cta0004.seg_B1,321562.0,326254.0
213,a0,cta0004.seg_B1,326254.0,332346.0
214,z,cta0004.seg_B1,332346.0,336270.0
215,v',cta0004.seg_B1,336270.0,338958.0
216,e4,cta0004.seg_B1,338958.0,340918.0
217,n,cta0004.seg_B1,340918.0,343262.0
218,n,cta0004.seg_B1,343262.0,345950.0
219,a4,cta0004.seg_B1,345950.0,348714.0
220,e4,cta0004.seg_B1,348714.0,351188.0
221,b,cta0004.seg_B1,351188.0,354762.0
222,a1,cta0004.seg_B1,354762.0,357984.0
223,l',cta0004.seg_B1,357984.0,360940.0
224,e0,cta0004.seg_B1,360940.0,366076.0
225,z',cta0004.seg_B1,366076.0,369918.0
226,n',cta0004.seg_B1,369918.0,375464.0
227,p,cta0004.seg_B1,387860.0,391096.0
228,a1,cta0004.seg_B1,391096.0,395116.0
229,ch,cta0004.seg_B1,395116.0,401250.0
230,u0,cta0004.seg_B1,401250.0,404332.0
231,s,cta0004.seg_B1,404332.0,408664.0
232,t,cta0004.seg_B1,408664.0,411824.0
233,u4,cta0004.seg_B1,411824.0,413962.0
234,v,cta0004.seg_B1,413962.0,416362.0
235,u4,cta0004.seg_B1,416362.0,418516.0
236,l,cta0004.seg_B1,418516.0,420566.0
237,o4,cta0004.seg_B1,420566.0,423738.0
238,u1,cta0004.seg_B1,423738.0,428186.0
239,l,cta0004.seg_B1,428186.0,430708.0
240,u1,cta0004.seg_B1,430708.0,433546.0
241,ch_,cta0004.seg_B1,433546.0,440034.0
242,sh,cta0004.seg_B1,440034.0,443094.0
243,e0,cta0004.seg_B1,443094.0,449128.0
244,n',cta0004.seg_B1,449128.0,452762.0
245,i4,cta0004.seg_B1,452762.0,456450.0
246,e4,cta0004.seg_B1,456450.0,461346.0
247,s,cta0004.seg_B1,485192.0,489258.0
248,t,cta0004.seg_B1,489258.0,492558.0
249,a0,cta0004.seg_B1,492558.0,497336.0
250,l,cta0004.seg_B1,497336.0,499980.0
251,a4,cta0004.seg_B1,499980.0,502034.0
252,f,cta0004.seg_B1,502034.0,505390.0
253,s,cta0004.seg_B1,505390.0,508406.0
254,k,cta0004.seg_B1,508406.0,512320.0
255,o0,cta0004.seg_B1,512320.0,515790.0
256,r',cta0004.seg_B1,515790.0,517902.0
257,i4,cta0004.seg_B1,517902.0,520348.0
258,h,cta0004.seg_B1,520348.0,525266.0
259,a1,cta0004.seg_B1,525266.0,528920.0
260,d',cta0004.seg_B1,528920.0,533492.0
261,i0,cta0004.seg_B1,533492.0,537396.0
262,t',cta0004.seg_B1,537396.0,544730.0
263,i1,cta0004.seg_B1,569520.0,573596.0
264,v,cta0004.seg_B1,573596.0,576086.0
265,a1,cta0004.seg_B1,576086.0,578276.0
266,k,cta0004.seg_B1,578276.0,581932.0
267,t',cta0004.seg_B1,581932.0,585848.0
268,i1,cta0004.seg_B1,585848.0,587650.0
269,b,cta0004.seg_B1,587650.0,591128.0
270,r',cta0004.seg_B1,591128.0,593208.0
271,e0,cta0004.seg_B1,593208.0,596564.0
272,i1,cta0004.seg_B1,596564.0,600346.0
273,j,cta0004.seg_B1,600346.0,603808.0
274,o0,cta0004.seg_B1,603808.0,608142.0
275,a1,cta0004.seg_B1,608142.0,610884.0
276,t,cta0004.seg_B1,610884.0,613888.0
277,p,cta0004.seg_B1,613888.0,617738.0
278,r,cta0004.seg_B1,617738.0,619066.0
279,a0,cta0004.seg_B1,619066.0,623676.0
280,v',cta0004.seg_B1,623676.0,626220.0
281,i4,cta0004.seg_B1,626220.0,627678.0
282,l',cta0004.seg_B1,627678.0,630358.0
283,i4,cta0004.seg_B1,630358.0,632976.0
284,d,cta0004.seg_B1,632976.0,636230.0
285,a1,cta0004.seg_B1,636230.0,640250.0
286,m,cta0004.seg_B1,640250.0,644940.0
287,o0,cta0004.seg_B1,644940.0,650320.0
288,j,cta0004.seg_B1,650320.0,654618.0
289,p,cta0004.seg_B1,673078.0,674176.0
290,o1,cta0004.seg_B1,674176.0,676690.0
291,p,cta0004.seg_B1,676690.0,680780.0
292,a1,cta0004.seg_B1,680780.0,686036.0
293,l,cta0004.seg_B1,686036.0,689382.0
294,n',cta0004.seg_B1,689382.0,692662.0
295,e0,cta0004.seg_B1,692662.0,697970.0
296,f,cta0004.seg_B1,697970.0,701996.0
297,sh,cta0004.seg_B1,701996.0,706830.0
298,u4,cta0004.seg_B1,706830.0,710038.0
299,e4,cta0004.seg_B1,710038.0,715868.0
300,i1,cta0004.seg_B1,732282.0,736490.0
301,t,cta0004.seg_B1,736490.0,739580.0
302,v',cta0004.seg_B1,739580.0,742700.0
303,o0,cta0004.seg_B1,742700.0,746764.0
304,r,cta0004.seg_B1,746764.0,748504.0
305,d,cta0004.seg_B1,748504.0,752012.0
306,o4,cta0004.seg_B1,752012.0,754064.0
307,u1,cta0004.seg_B1,754064.0,758236.0
308,v',cta0004.seg_B1,758236.0,762806.0
309,e0,cta0004.seg_B1,762806.0,766834.0
310,r',cta0004.seg_B1,766834.0,768700.0
311,i4,cta0004.seg_B1,768700.0,771098.0
312,n,cta0004.seg_B1,771098.0,773430.0
313,n,cta0004.seg_B1,773430.0,775580.0
314,u4,cta0004.seg_B1,775580.0,777872.0
315,e4,cta0004.seg_B1,777872.0,781402.0
316,f,cta0004.seg_B1,781402.0,785330.0
317,t,cta0004.seg_B1,785330.0,790062.0
318,o0,cta0004.seg_B1,790062.0,794678.0
319,m,cta0004.seg_B1,794678.0,799240.0
320,sh,cta0004.seg_B1,811154.0,815844.0
321,t,cta0004.seg_B1,815844.0,819308.0
322,o0,cta0004.seg_B1,819308.0,822692.0
323,d',cta0004.seg_B1,822692.0,828230.0
324,e0,cta0004.seg_B1,828230.0,832736.0
325,l,cta0004.seg_B1,832736.0,836428.0
326,y4,cta0004.seg_B1,836428.0,838870.0
327,y1,cta0004.seg_B1,838870.0,842228.0
328,d',cta0004.seg_B1,842228.0,846242.0
329,o0,cta0004.seg_B1,846242.0,850548.0
330,t,cta0004.seg_B1,850548.0,856056.0
331,n,cta0004.seg_B1,856056.0,856808.0
332,y1,cta0004.seg_B1,856808.0,859600.0
333,p,cta0004.seg_B1,859600.0,861770.0
334,a1,cta0004.seg_B1,861770.0,865082.0
335,p,cta0004.seg_B1,865082.0,868510.0
336,r,cta0004.seg_B1,868510.0,870826.0
337,a0,cta0004.seg_B1,870826.0,876294.0
338,f,cta0004.seg_B1,876294.0,879988.0
339,k,cta0004.seg_B1,879988.0,884052.0
340,u4,cta0004.seg_B1,884052.0,889588.0
341,v,cta0005.seg_B1,0.0,3468.0
342,o0,cta0005.seg_B1,3468.0,6216.0
343,t,cta0005.seg_B1,6216.0,10648.0
344,y0,cta0005.seg_B1,10648.0,12884.0
345,m',cta0005.seg_B1,12884.0,16752.0
346,e4,cta0005.seg_B1,16752.0,18152.0
347,n,cta0005.seg_B1,18152.0,19322.0
348,n,cta0005.seg_B1,19322.0,20742.0
349,a4,cta0005.seg_B1,20742.0,23398.0
350,t,cta0005.seg_B1,23398.0,28376.0
351,a1,cta0005.seg_B1,28376.0,31816.0
352,g,cta0005.seg_B1,31816.0,35468.0
353,d,cta0005.seg_B1,35468.0,39382.0
354,a0,cta0005.seg_B1,39382.0,50736.0
355,k,cta0005.seg_B1,61664.0,64758.0
356,a1,cta0005.seg_B1,64758.0,68000.0
357,g,cta0005.seg_B1,68000.0,70356.0
358,d,cta0005.seg_B1,70356.0,73946.0
359,a0,cta0005.seg_B1,73946.0,76990.0
360,k,cta0005.seg_B1,76990.0,80148.0
361,s',cta0005.seg_B1,80148.0,85468.0
362,e0,cta0005.seg_B1,85468.0,89334.0
363,n',cta0005.seg_B1,89334.0,93022.0
364,e4,cta0005.seg_B1,93022.0,95172.0
365,e4,cta0005.seg_B1,95172.0,97440.0
366,f',cta0005.seg_B1,97440.0,103372.0
367,o0,cta0005.seg_B1,103372.0,106656.0
368,d,cta0005.seg_B1,106656.0,109458.0
369,a4,cta0005.seg_B1,109458.0,110512.0
370,r,cta0005.seg_B1,110512.0,111674.0
371,a4,cta0005.seg_B1,111674.0,113608.0
372,v,cta0005.seg_B1,113608.0,117012.0
373,n,cta0005.seg_B1,117012.0,119534.0
374,a4,cta0005.seg_B1,119534.0,121876.0
375,v',cta0005.seg_B1,121876.0,125362.0
376,e1,cta0005.seg_B1,125362.0,127034.0
377,r,cta0005.seg_B1,127034.0,130196.0
378,n,cta0005.seg_B1,130196.0,133406.0
379,u0,cta0005.seg_B1,133406.0,135562.0
380,l,cta0005.seg_B1,135562.0,138358.0
381,e4,cta0005.seg_B1,138358.0,140210.0
382,s',cta0005.seg_B1,140210.0,145236.0
383,i1,cta0005.seg_B1,145236.0,147110.0
384,z,cta0005.seg_B1,147110.0,149850.0
385,b,cta0005.seg_B1,149850.0,153736.0
386,a1,cta0005.seg_B1,153736.0,157198.0
387,l',cta0005.seg_B1,157198.0,159672.0
388,n',cta0005.seg_B1,159672.0,162798.0
389,i0,cta0005.seg_B1,162798.0,167010.0
390,c,cta0005.seg_B1,167010.0,174398.0
391,y4,cta0005.seg_B1,174398.0,180554.0
392,zh,cta0005.seg_B1,205702.0,211782.0
393,e1,cta0005.seg_B1,211782.0,214692.0
394,n,cta0005.seg_B1,214692.0,218324.0
395,a0,cta0005.seg_B1,218324.0,222430.0
396,d,cta0005.seg_B1,222430.0,225634.0
397,m',cta0005.seg_B1,225634.0,230422.0
398,i0,cta0005.seg_B1,230422.0,234082.0
399,t,cta0005.seg_B1,234082.0,239080.0
400,r',cta0005.seg_B1,239080.0,240280.0
401,i4,cta0005.seg_B1,240280.0,243444.0
402,y4,cta0005.seg_B1,243444.0,245496.0
403,v,cta0005.seg_B1,245496.0,248496.0
404,y4,cta0005.seg_B1,248496.0,251320.0
405,z,cta0005.seg_B1,251320.0,254748.0
406,a1,cta0005.seg_B1,254748.0,259000.0
407,t',cta0005.seg_B1,259000.0,265230.0
408,e0,cta0005.seg_B1,265230.0,269986.0
409,e4,cta0005.seg_B1,269986.0,273882.0
410,l,cta0005.seg_B1,273882.0,277612.0
411,a4,cta0005.seg_B1,277612.0,281934.0
412,a1,cta0005.seg_B1,281934.0,290022.0
413,b,cta0005.seg_B1,290022.0,295154.0
414,m',cta0005.seg_B1,295154.0,299404.0
415,e0,cta0005.seg_B1,299404.0,304646.0
416,n,cta0005.seg_B1,304646.0,310348.0
417,r',cta0005.seg_B1,336160.0,339662.0
418,i1,cta0005.seg_B1,339662.0,342858.0
419,sh,cta0005.seg_B1,342858.0,349186.0
420,y0,cta0005.seg_B1,349186.0,352372.0
421,l,cta0005.seg_B1,352372.0,355036.0
422,a4,cta0005.seg_B1,355036.0,357450.0
423,s,cta0005.seg_B1,357450.0,365326.0
424,r,cta0005.seg_B1,365326.0,366662.0
425,o0,cta0005.seg_B1,366662.0,371062.0
426,ch,cta0005.seg_B1,371062.0,377934.0
427,n,cta0005.seg_B1,377934.0,379174.0
428,a4,cta0005.seg_B1,379174.0,381312.0
429,s,cta0005.seg_B1,381312.0,386618.0
430,j,cta0005.seg_B1,386618.0,388500.0
431,i1,cta0005.seg_B1,388500.0,392010.0
432,zh',cta0005.seg_B1,392010.0,395086.0
433,zh',cta0005.seg_B1,395086.0,397816.0
434,a0,cta0005.seg_B1,397816.0,402692.0
435,c,cta0005.seg_B1,402692.0,407790.0
436,y4,cta0005.seg_B1,407790.0,409414.0
437,s,cta0005.seg_B1,409414.0,414288.0
438,y1,cta0005.seg_B1,414288.0,414966.0
439,s,cta0005.seg_B1,414966.0,420256.0
440,v',cta0005.seg_B1,420256.0,422394.0
441,e1,cta0005.seg_B1,422394.0,424562.0
442,k,cta0005.seg_B1,424562.0,429108.0
443,r,cta0005.seg_B1,429108.0,430558.0
444,o0,cta0005.seg_B1,430558.0,434768.0
445,v',cta0005.seg_B1,434768.0,438208.0
446,j,cta0005.seg_B1,438208.0,441400.0
447,u4,cta0005.seg_B1,441400.0,446018.0
448,zh,cta0005.seg_B1,463208.0,469734.0
449,y0,cta0005.seg_B1,469734.0,474540.0
450,f,cta0005.seg_B1,474540.0,477396.0
451,sh,cta0005.seg_B1,477396.0,482196.0
452,e4,cta0005.seg_B1,482196.0,485072.0
453,e1,cta0005.seg_B1,485072.0,487650.0
454,d',cta0005.seg_B1,487650.0,490498.0
455,i1,cta0005.seg_B1,490498.0,493090.0
456,n,cta0005.seg_B1,493090.0,495998.0
457,o0,cta0005.seg_B1,495998.0,499834.0
458,k,cta0005.seg_B1,499834.0,502926.0
459,o4,cta0005.seg_B1,502926.0,505662.0
460,f,cta0005.seg_B1,505662.0,509658.0
461,h,cta0005.seg_B1,509658.0,512840.0
462,a1,cta0005.seg_B1,512840.0,517228.0
463,r,cta0005.seg_B1,517228.0,518964.0
464,o0,cta0005.seg_B1,518964.0,525140.0
465,sh,cta0005.seg_B1,525140.0,531406.0
466,y4,cta0005.seg_B1,531406.0,536404.0
467,j,cta0005.seg_B1,536404.0,539000.0
468,d,cta0005.seg_B1,542264.0,547180.0
469,v,cta0005.seg_B1,547180.0,549686.0
470,y1,cta0005.seg_B1,549686.0,552050.0
471,c,cta0005.seg_B1,552050.0,556946.0
472,y1,cta0005.seg_B1,556946.0,559086.0
473,t',cta0005.seg_B1,559086.0,563992.0
474,i0,cta0005.seg_B1,563992.0,566328.0
475,m',cta0005.seg_B1,566328.0,569724.0
476,i1,cta0005.seg_B1,569724.0,571656.0
477,t,cta0005.seg_B1,571656.0,575898.0
478,r,cta0005.seg_B1,575898.0,577582.0
479,o0,cta0005.seg_B1,577582.0,581200.0
480,v,cta0005.seg_B1,581200.0,584082.0
481,y4,cta0005.seg_B1,584082.0,586940.0
482,k,cta0005.seg_B1,586940.0,592874.0
483,o0,cta0005.seg_B1,592874.0,596350.0
484,m,cta0005.seg_B1,596350.0,598492.0
485,n,cta0005.seg_B1,598492.0,601436.0
486,y4,cta0005.seg_B1,601436.0,604292.0
487,t',cta0005.seg_B1,604292.0,609736.0
488,e4,cta0005.seg_B1,609736.0,616464.0
489,n,cta0005.seg_B1,622096.0,626282.0
490,a2,cta0005.seg_B1,626282.0,627906.0
491,p,cta0005.seg_B1,627906.0,631984.0
492,r,cta0005.seg_B1,631984.0,633236.0
493,a2,cta0005.seg_B1,633236.0,635096.0
494,f,cta0005.seg_B1,635096.0,638084.0
495,s,cta0005.seg_B1,638084.0,642240.0
496,a1,cta0005.seg_B1,642240.0,645916.0
497,j,cta0005.seg_B1,645916.0,650494.0
498,u0,cta0005.seg_B1,650494.0,653872.0
499,z,cta0005.seg_B1,653872.0,657818.0
500,n,cta0005.seg_B1,657818.0,661072.0
501,e4,cta0005.seg_B1,661072.0,662872.0
502,j,cta0005.seg_B1,662872.0,664882.0
503,u0,cta0005.seg_B1,664882.0,673818.0
504,l',cta0005.seg_B1,673818.0,676530.0
505,i4,cta0005.seg_B1,676530.0,678898.0
506,c,cta0005.seg_B1,678898.0,686024.0
507,e4,cta0005.seg_B1,686024.0,691068.0
508,r,cta0006.seg_B1,0.0,3138.0
509,y1,cta0006.seg_B1,3138.0,5922.0
510,z,cta0006.seg_B1,5922.0,8686.0
511,g,cta0006.seg_B1,8686.0,11186.0
512,a1,cta0006.seg_B1,11186.0,15112.0
513,v,cta0006.seg_B1,15112.0,17462.0
514,o0,cta0006.seg_B1,17462.0,20808.0
515,r,cta0006.seg_B1,20808.0,21820.0
516,y4,cta0006.seg_B1,21820.0,24794.0
517,a1,cta0006.seg_B1,24794.0,27370.0
518,t,cta0006.seg_B1,27370.0,31896.0
519,o0,cta0006.seg_B1,31896.0,35374.0
520,m,cta0006.seg_B1,35374.0,38130.0
521,sh,cta0006.seg_B1,38130.0,42012.0
522,t,cta0006.seg_B1,42012.0,45188.0
523,o0,cta0006.seg_B1,45188.0,47214.0
524,b,cta0006.seg_B1,47214.0,50042.0
525,y4,cta0006.seg_B1,50042.0,52820.0
526,s,cta0006.seg_B1,52820.0,57854.0
527,y1,cta0006.seg_B1,57854.0,60494.0
528,i1,cta0006.seg_B1,60494.0,63056.0
529,d',cta0006.seg_B1,63056.0,65460.0
530,i1,cta0006.seg_B1,65460.0,67990.0
531,n',cta0006.seg_B1,67990.0,71650.0
532,i0,cta0006.seg_B1,71650.0,74878.0
533,c,cta0006.seg_B1,74878.0,79872.0
534,a4,cta0006.seg_B1,79872.0,82604.0
535,s,cta0006.seg_B1,82604.0,87802.0
536,m,cta0006.seg_B1,87802.0,90058.0
537,a0,cta0006.seg_B1,90058.0,93572.0
538,t',cta0006.seg_B1,93572.0,98630.0
539,i4,cta0006.seg_B1,98630.0,100278.0
540,r',cta0006.seg_B1,100278.0,102002.0
541,j,cta0006.seg_B1,102002.0,106624.0
542,o4,cta0006.seg_B1,106624.0,114074.0
543,d,cta0006.seg_B1,126168.0,131808.0
544,m',cta0006.seg_B1,131808.0,135544.0
545,i0,cta0006.seg_B1,135544.0,138674.0
546,t,cta0006.seg_B1,138674.0,143022.0
547,r',cta0006.seg_B1,143022.0,144394.0
548,i4,cta0006.seg_B1,144394.0,146458.0
